lr,weight_decay,dropout,se_reduction,lambda_h3k27ac,atac_auc,pearson,score
0.002452612631133679,5.416754583247461e-06,0.38984550013638475,21,2.783331011414365,0.9356370771658917,0.40719833766725344,0.9547210152219349
1.9949166150633936e-05,6.870614282613304e-05,0.16685430556951095,8,3.603553891795412,0.9048869172034297,0.383543532733162,0.9115067812895541
1.476504371359436e-05,0.0007726718477963435,0.4692763545078752,4,4.968846237164871,0.8980468370089152,0.3822221835974773,0.9064349066718784
0.0007119418600172992,0.0002796485951606247,0.003533152609858704,5,3.099098641033557,0.9387175702768417,0.41413330876472454,0.9643108839910686
0.00015833718339012065,1.536960311060885e-06,0.4868777594207297,11,1.3624257381312832,0.9363282856289723,0.3986958185124696,0.9452818881222413
0.01,3.5636311470338666e-06,0.003599165026560954,9,1.140784574998919,0.9349334698346344,0.40145462577078384,0.9477372175178038
0.0006500149992442806,0.01,0.0,32,1.0,0.9461045088085995,0.4148896447591479,0.9690154297483555
0.0019175321647207958,0.01,0.0,4,5.0,0.9158679349912555,0.4032691111419312,0.9399352524171507
0.0014802547072142386,0.0002935404015179157,0.39865653998226386,10,1.0,0.9492493850332011,0.4143412107022705,0.9700152846376171
0.00024630849067006327,0.00043055167985941973,0.3270627500963477,5,4.980936447666956,0.9234604786076867,0.3995972814085258,0.9396437349160642
0.0010020702219352751,1e-06,0.5,4,1.0,0.9499548692573476,0.40993844025376003,0.9653078663959103
1.0948043096895472e-05,0.0016356254961942668,0.33793562666935933,27,1.0231332172350114,0.9066184362069702,0.37243825335179714,0.8996081955668425
0.0010740787169884111,0.01,0.5,4,1.640555423763046,0.9457077450269449,0.4001075677954127,0.9517755865172997
0.002096266215799175,0.0015263158559262464,0.0014126648059829552,16,1.0514756999691608,0.9422881599340244,0.41419086436427843,0.9662299419266842
0.0009285395749235875,1e-06,0.0,32,1.0,0.9447851099830795,0.4133836116011662,0.9665953490656843
0.0009392607004634007,1e-06,0.0,32,1.0,0.9456113978586358,0.41289970242720697,0.9664664719860525
0.0007334790504049858,0.00012669181926273695,0.0,32,1.0,0.9445168280510173,0.4114307844743741,0.9642058215791899
0.00047707955788098174,0.01,0.15396943342911493,21,1.0,0.9427546531302875,0.40280041915300535,0.9533463423406509
0.00968842581285186,0.0002232303782243948,0.3833727750866888,5,4.890441528078547,0.9108056704915469,0.3931487498187387,0.9256464170568055
0.0014705429505313685,1e-06,0.0,4,1.0,0.951835970936598,0.4172705219419741,0.9747329920570822
0.0032772757990434994,0.008435246840797586,0.42469068010161043,14,1.0643392064173494,0.948337556342334,0.41053055345392586,0.9651509782125387
0.001703962544504006,1e-06,0.0,4,1.0,0.9500489414039728,0.4130245219449842,0.9689128923147947
0.0038849146401655926,1.065384909346692e-06,0.0046610888868595666,18,1.036189810495856,0.946705228284207,0.4013396129029356,0.9537129020496644
0.00975289621187968,0.00013935470122272968,0.4971037956509984,26,1.0268209796114536,0.9381899358728263,0.3992413799407789,0.946876547019213
0.0013591175134762563,1e-06,0.0,31,1.0,0.9448514268651623,0.41366197032279667,0.9669505237473259
0.0013760615161258587,1e-06,0.0,32,1.0,0.9425384123192424,0.4141326918769155,0.9662927603221363
0.001362252404277868,0.01,0.0,4,1.0,0.9499213126875115,0.4177738013590402,0.9743194484402597
0.00019209286929793023,1.6408181066595233e-05,0.004906556411849451,7,1.046917567227935,0.9403856730509463,0.39058668236704985,0.9380427399059995
0.0006432261237148619,0.0002417907832395039,0.4419436126463546,25,4.993361724819616,0.9211497390834507,0.398037484456921,0.9366473058018945
0.0022379270078784997,0.009532620958781678,0.4497995455202328,6,1.0250803465883753,0.9483245887187362,0.4145033306989707,0.9697222366203891
